class;question
RES;What is the operating system of the LG Optimus Vu and also the developer of the Dart (programming language)
RES;Who follow religions led by David Miscavige?
NUM;How many people have written for Gangan Comics?
RES;Which part of the US political framework did Arthur Bagby and Thomas H hicks both serve?
RES;Who wrote The Times They Are a-Changin?
RES;Which education institute of Duncan U. Fletcher is also the university of Vanderbilt Commodores ?
NUM;How many total religions are followed by people whose hometown is somewhere in India?
RES;What were the awards won by the founder of Walt Disney Records ?
NUM;England is the origin of how many things?
RES;What is the television show with presentator as Ryan Seacrest and theme music composer as Julian Gingell?
RES;Where did ed podolak go to high school
RES;Where is the county seat of King County, Washington?
BOOL;Is Maldives a member ofof South Asia Subregional Economic Cooperation?
BOOL;Is Rain Over me in the planet pit album?
RES;What common team are Mikhail Pashnin and Robin Kovacs expected to play for?
RES;What are the houses of legislature in the political leader's seat of Medininagar?
RES;Which producer of Boeing F/A-18E/F Super Hornet has a key person Dennis Muilenburg ?
BOOL;Was Ne Daj Se, Nina first aired in Croatia?
NUM;How many people work at the FBI?
NUM;How many people have been trained in an institute located in California?
RES;Where is the tomb of son of Bruce Lee?
RES;What are some famous companies founded in the US?
RES;Name the common former team of Marv mcFadden and Carlos Emmons ?
NUM;Who were fighting the war where the QF Hotchkiss was used?
NUM;Give me a count of movies whose film editor is Anthony Harvey?
NUM;How many people are buried in Arlington National Cemetery?
RES;What are some people working for the New York Post?
RES;Which country were the people from who became famous for the Ramon Mangsaysay Award?
RES;Name the office holder with predecessor as Samuel W. McCall and office in Massachusetts House of Representatives?
RES;In which city is the sister station of WCSE-LP located ?
RES;What are some devices whose manufacturers are in taiwan?
RES;Which military commander fought his battle at Fort Gadsen?
RES;Which spanish novel was published by Francisco de Robles?
RES;What are some bands originating in London?
RES;Which educational institution has Kaplan, Inc as it's affiliation?
RES;Who is associated to Publius Servilius Vatia Isauricus  and Marcus Calpurnius Bibulus?
RES;In what group Joe Jonas and Kevin Jonas were previously involved?
RES;Who are relatives of Ozzy Osbourne and Kelly Osbourne?
RES;Naval station mobile and naval support activity, naples are under which branch of Us military?
BOOL;Is Ian Thorpe the bronze medalist of Swimming at the 2004 Summer Olympics  Men's 100 metre freestyle?
RES;Where did john o conner study?
RES;List the producers who produced movies starring Michael Jackson.
RES;List the name of the soccer clubs whose chairman is Joan Laporta.
RES;Name the major shrine of Bogumilus?
RES;What is the political party of the Satish Kumar Sharma which is also the political party of Manthena Venkata Raju?
RES;What are the other launch site of the rockets which also have been launched from  Cape Canaveral Air Force Station Launch Complex 5 ?
RES;Name the TV shows related to Babylon 5: The Lost Tales and is aired on Prime TIme Entertainment Networks ?
RES;Who is the person whose alma mater is Harvard-Westlake School?
NUM;How many different religions have economists followed?
RES;Martin Ferguson and Mike Kelly served under which aussie PM?
RES;Which royalty's spouse is Ptolemy XIV of Egypt?
RES;What artists are associated with the members of the Catalin Maruta?
RES;In which city are buildings by Solon Spencer Beman found?
RES;Danny Felice, the Gibraltarian guitarist is from which city?
RES;Name the tenants of O.co Coliseum ?
RES;Name the rivers originating from an English speaking nation?
NUM;Count the total awards won by the writer who has won Goethe Prize ?
NUM;In how many nations can I find people related to the feminist movement?
RES;What team had the debut of Marv Throneberry and Curt Coleman?
RES;Name the sports played by PATTS College of Aeronautics?
RES;Which home town of Cline Buckens is the place of Death of Richard heron ?
RES;Who wrote the musical based on Mary Poppins?
RES;With whom is Heinz Kokott a relative to who also served Nazi Army?
RES;Who is the former partner of the figure skater which was the former partner of Brynn Carman ?
RES;Name the company which produces Marionette and has key person as Edwin catmull ?
RES;Paul Morphy compiled journals of which field?
RES;Name the person whose relation is Dee Dee Warwick?
RES;Give me some series whose network's owning company is Warner Bros. Television?
RES;In which region was political figure Wayne Allard elected?
RES;What awards have the narrator of the Cries and Whispers won?
NUM;How many ships belong to states which has Unitary as government type ?
RES;Who designed Oddamavadi Bridge?
NUM;Count all the band members who are in Bands which have signed up with Entertainment One Music?
RES;What are the television shows whose company is European Broadcasting Union?
RES;Who are the founders of Iskra ?
RES;To which families does the Koolakamba belong ?
NUM;Graduates of Somerville College have been in how many political parties?
BOOL;Was George Washington on the rank of general?
RES;List all the developers of the Oddworld series?
BOOL;Was the Incredibles released before Finding Nemo?
RES;Who is renowned for Ae Fond Kiss and poem of Halloween ?
RES;Which county seats are in the district where I can find the Hylebos Creek?
RES;Which american football player's current team is Michigan Wolverines and former team was  Baltimore Ravens ?
RES;Which TV show distributed by Warner Bros. has Christopher Franke as one of the artist ?
NUM;Give me a count of all the producers of all the movies whose music was done by James Horner?
RES;Where did isabelle caro and judson huss both die?
RES;List the notable work of David Isaacs (writer)?
RES;What is the province of Egypt Nanotechnology Center ?
NUM;Give me the number of home stadiums of teams managed by John Spencer.
NUM;How many people are buried in the Winchester Cathedral?
RES;Name the origins of the river with Quich Department as one of the origin ?
RES;Who wrote a rose for emily?
RES;What is the mascot of the Royal Australian Air Force and Austin College?
RES;What ethnicity do people in British Columbia belong to?
RES;Which motion picture stories were edited by Ishir Honda?
RES;Name the tv series produced by Stephen Ambrose and Erik Bork?
RES;Who starred in Awakening and fifety five days at peknig ?
RES;Which tv series have a score composed by judy hard angelo?
RES;For which other teams have the past Boston Bruins members played?
RES;List the Swedish newspaper headquarted in Stockholm ? 
RES;Those seasons which have been played in Fort Lauderdale Florida now host their games where?
BOOL;Were the 1995 south pacific games hosted in tahiti?
RES;Where is the origin of Filbert's Old Time Root Beer ?
RES;Which largest city of Salsette Island is also the largest city of India ?
RES;Give me all the alma mater of the relatives of Samuek Moreno Rojas ?
RES;Which magazine's editor's official residence is Playboy Mansion?
RES;To which destinations does Air 2000 fly?
RES;What is the political party to which Purnima Banerjee is a member of?
RES;To which political party does the successor of Radhabinod Koijam belong?
RES;What is the ethnicity of Linda Hogan ?
RES;Name the mammals which are primate and belongs to family of ape ?
RES;Who did the person whose predecessor is Arthur Slaght, play for?
RES;To what did the parliament member swore her oath to, whose has sons is Lohan Ratwatte?
RES;What are the awards won by the producer of Elizabeth: The Golden Age?
RES;In which military conflict were Phm Vn ng and John McEwen commanders ?
RES;What is the hometown of the volleyball player whose club is VC Lokomotiv Novosibirsk ?
RES;Who owns the bridge which crosses the Orange Line of MBTA?
BOOL;Is joel quenneville the main coach of Chicago Blackhawks?
RES;Through which label did Mel Brooks produce his movie?
NUM;Count the number of judges who've come on CTV network shows.
RES;Name the musical artists whose label is given by Kobalt Label Services?
NUM;Enumerate all the first teams of the GPs which were held in Watkins Glen, NY?
RES;Which operator of ganz UV is also the nationality of the Gza Horvth ?
BOOL;Does the AMC Gremlin use an Audi engine?
RES;What is the death place of the Abiye Abebe and is the birthplace of the Amsale Aberra?
RES;Which official residence of Nikos Pateras is also the stadium of anionios G.S.S. season 2014-15 ?
NUM;Give me a count of movies whose producer is Larry J. Franco?
RES;What is the common profession of William Luther Hill and Claiborne Pell?
RES;Which city near Nihoa is the place of death of jim Brady ?
NUM;Journals of how many fields can be found in US?
NUM;How many different genres of games can I find which are compatible with the Commodore 64?
RES;In which wars has Steven Palazzo fought?
RES;Which fields' academic journals are found in the US?
RES;Mike Shinoda is in which band?
RES;What are the television shows whose voices is given by  Mona Marshall?
RES;Name the movie whose director of photography is Gregg Toland and Bernard Herrmann was the music composer?
RES;Name the members of  boards of Freedom of the City and Trinity House?
RES;Name the company with product lines like Visual studio and Surface ?
NUM;How many contries surround the seas on the banks of which is the city of Cancun?
RES;Name the other wine region of the grapes whose one of the wine region is Michigan?
RES;Which administrative region leader is Sukhumbhand Paribatra and was founded by  Rama I?
RES;Name the largest city of the country where the body of Amit Saigal was discovered?
RES;Who founded the city where First Church of Christ, Scientist is located?
RES;Los Angeles Lakers is the team of which basketball players?
RES;What are the movies produced by Michael Deeley?
RES;Where is the headquarter of Regional Transit Authority of Southeast Michigan ?
RES;What are the awards won by the parent of Daniel Bergmans?
RES;What is the common debut team of the Butch Metzger and Dan Otero?
RES;What place is the birthplace of Vijay Chavan where Eka Lagnachi Teesri Goshta is located as well?
RES;Collect and return a list of things in the area where Spanish language is used?
RES;Where is Hafthor Julius Bjornsson from?
RES;What writers have nationality as Statelessness?  
RES;Music for what was made by someone who died of a cardiovascular disease?
RES;What famous musicians play the remo?
RES;Name the music artist which collaborated with the spouse of Jessi Colter?
RES;Among which city where Geography Club played also had the Kenticky Cycle ?
BOOL;Does Lousana lie at the end of Alberta Highway 42?
NUM;Count the number of sports played by the universities whose one of the sports is baketball ?
RES;Amongst the winner of Lovelace medal, who has John Robert as doctoral supervisor ?
RES;What things have founded place as United States and New Mexico?
RES;Which television shows has sound format as 5.1 surround?
RES;Who is the producer of the single which was the subsequent work of He's a Liar?
RES;List the people who influenced the comedian who acted in Good Hair ?
RES;To what other locations does the airlines have flights, who also fly to Birmingham?
RES;Name the television show whose creator is Simon Fuller and presented by Ryan Seacrest?
BOOL;Does the Westchester Avenue fall under the Bronx?
NUM;In how many places has Garbage recorded their songs?
NUM;How many cars can I find related to the cars which have a V8 engine?
RES;What products do US companies make?
NUM;How many characters are there in The Office?
RES;Name the person with opponents Ike Clanton and Tom McLaury?
RES;Who first ascented a mountain of Mount Hoffmann ?
RES;Which  science fiction show has Steven Moffat as executive producer ?
RES;Who all play for the teams performing in the united center?
NUM;How many parties have come in power in elections where Y. S. Rajasekhara Reddy won?
RES;Where did Wallace Dollase die?
RES;In which state is Red Willow Creek?
RES;Who is the founder of the trade union with whom Amalgamated Clothing Workers of America is affiliated?
RES;Who operates the railway line which begins in Minneapolis?
RES;What is the nation of the speedway league where Ikaros Smederna played?
NUM;How many non fiction topics does Thud! deals with?
RES;Which route start of Moscow-Kazan high-speed railway is the home stadium of 2011-12 FC Spartak Moscow ?
RES;Which party of Rishang Keishing is the leader at Manendragarh ?
NUM;How many people were in a youthclub which played in the Argentine Primera Division?
RES;What is the home town of the musician of Jack your Body ?
RES;In which branch of the government does James L. McConaughy belong?
RES;in which country does the river end which originates in Lebrsnik?
RES;Where did Andy Wyant die and Robert Rodi was born in?
RES;Which person constituency is Duboce Triangle, San Francisco and military unit is USS Kittiwake (ASR-13)?
RES;What is the occupation of the band members of The Shirelles?
RES;Which American football player is a former team player of Indianapolis Colts and current team is Michigan Wolverines?
RES;List the mountains of the range Sierra Nevada (U.S.) located in  California?
RES;List the television shows whose distributors are located at Burbank, California.
RES;What is the common relegion of Miao people  and the country where Guru Purnima is celebrated ?
RES;In which university did Harlan Mathews study, where Richard Meriil Atkinson went too?
RES;What kind of buildings were designed by Pyusawhti?
RES;What is the owning company of the bank whose parent is Sony Financial ?
RES;What are some gymnasts coached by Amanda Reddin?
RES;Katharevousa writers have been given which awards?
RES;What are some mammals whose phylum is Chordate?
NUM;How many developers have worked on games of the Oddworld series?
RES;Name the home ground of  2015 Fort Lauderdale Strikers season ?
RES;Which video game composed by Hirokazu Tanaka can be played on virtual Console ?
RES;What is the resting place of the engineer who was the architect of Plaza on DeWitt?
RES;Where are the cooper mountain vineyards and Mt. bachelor ski area located?
NUM;How many tenants are there in the Mercedes Benz Superdome?
RES;What is the affiliation of the hospital where Alfred Blalock works?
NUM;How many genres gave birth to other genres which emphasize Bass Guitars?
NUM;How many bands began in Birmingham?
RES;Where does the river end which starts in Richmond Park?
NUM;How many causes of death have been associated with American citizens?
RES;Louis Dunbar is the coach of which basketball team ?
BOOL;Was Noko a band member of Luxuria?
RES;Charles Willing Byrd was the governor under which politician?
BOOL;Do the asiana airlines fly  to Jeju airport?
NUM;For how many teams have the league players of Czech Extraliga, previously played?
RES;Which television show is the subsequent work of Frasier and the opening theme is Gary Portnoy?
NUM;Count the number of sports played by university which also plays Taekwondo ?
RES;What continent of the world has Baja California peninsula and also has WEPG in one of it's cities?
RES;Rashid Behbudov State Song Theatre and Baku Puppet Theatre can be found in which country?
RES;What is the service of the Laemmle Theatres and is also the award of the Jos Rivera (playwright)?
RES;Which football players currently have their contracts with Stoke City F.C.?
RES;What are the cities around the sea which flows into the Atlantic?
RES;Artists trained at art students league NY are buried where?
RES;What is the municipality of Liberty Bell ?
RES;Who is the owner of Bloomberg L.P. ?
RES;What is the location of death of the skier who was the bronze medalist of Alpine skiing at the 1964 Winter Olympics  Men's slalom ?
RES;What is the debut team of the american football player who studied in North Fort Myers High School?
RES;In which races did Mouse Morris take part?
RES;Who are the writers of South Park: The Stick of Truth?
RES;What is the leading party in Baraily which Chandra Shekhar too is associated with?
RES;Whose commanders are Colin Powell and Jaber Al-Ahmad Al-Sabah?
RES;Name the fictional character who was in Terminator and portrayer is Terminator 2: Judgment Day?
RES;List the trainers of Shinya Aoki ?
RES;What do typically NGOs work for?
RES;What does the river end on whose border we find in Bjelasnica?
RES;List few schools situated in Reading, Berkshire ?
RES;Who preceded Lucius Crus as an office holder?
NUM;How many universities participate in the NCAA Division I Football Bowl Subdivision?
RES;Where is the senator from whose successor was James belford?
RES;What is the state of origin of Thomas Pfyl ?
RES;What is the nationality of the successor of Nii Okaidja Adamafio ?
RES;By which university is the literary magazine named Stone Canoe published?
BOOL;Is Plymouth High School for Girls in Devon county?
NUM;Give me a count of companies located in Texas ?
RES;Name the company whose one of the product is Pixar Image Computer and has one of the key person as Edwin Catmull?
RES;Who is the cover artist of Doctor Mirabilis (novel) ?
RES;list some shawnee people?
RES;Name the office holder whose predecessor is Henry E. Catto, Jr. and successor is Adrian A. Basora?
RES;Who is the common prime minster of William Deaner and mark Latham ?
RES;What is the parent company of company which owns Sony Bank?
NUM;How many games are played at universities in Metro Manilla?
RES;Name all sitcoms whose theme music is made by Miley Cyrus?
RES;Who is the former partner of the pupil of Dalilah Sappenfield?
RES;Who is the Pole driver of 1992 Canadian Grand Prix ?
RES;Which city's neighboring municipalities are Lancy and  Pregny-Chambsy?
RES;Which home town of PAvel Moroz is the death location of the Yakov Estrin ?
RES;What is the country whose speaker of the Dewan Rakyat is Pandikar Amin Mulia?
RES;Which mainter of  Cheasty Boulevard South is also the county seat of the King County, Washingtonsu ?
NUM;From what countries have people participated in the Excelsior Stakes?
RES;What are the largest cities in each of the destinations of TranStar Airlines?
RES;Which writer is famous for works written by Neil Gaiman?
RES;Who all have been a president of educational institutes in Paud?
RES;Who is the developer of the software which serves the platform for King's Quest VI?
RES;Who was in youth clubs of FC Barcelona and Newell's Old Boys?
RES;For which country did Alexander Lippisch design airplanes?
RES;What do the relatives of James Hartness do?
RES;Who is the appointer of William Cushing ?
RES;Who is the former partner of Chris Knierim ?
RES;Who is  office holder of constituencies Duboce Triangle and Noe Valley ?
RES;What is the university attended by the baseball player who's known for Olin Corporation?
NUM;How many different kinds of softwares have been released under the GPL license?
RES;What is the religion of the relatives of Carmela Soprano ?
RES;In all the grand prixes where the first team was Scuderia Ferrari, who all were the pole drivers?
RES;What is the citizenship of Erastus Wiman ?
RES;What are some awards given to the french people?
RES;where are the sister stations of CFRB broadcasted?
RES;What awards have been once awarded to Ingmar Bergman, and have employed the service of Laemmle Theatres?
BOOL;Is the Kia Sportage similar to the Hyundai Lavita?
RES;Name the district of Robert William Wilcox ?
RES;What are the video games composed by Hirokazu Tanaka?
RES;What are the academic interest of Philip Novak?
RES;Tandem Computers is the subsidiary of which company?
RES;Name the mountain range in which the mountain peak of Malatraix belongs?
RES;Who offers the services of OneDrive and Outlook.com?
RES;What is the location of the Walter Evans Edge office which is also the place of birth of henry Miller ?
RES;List down the prime ministers of Peter Thorneycroft ?
RES;What is the division of the companies who make Runes of Magic?
RES;List the birthplace of the medicians who studied in Harvard.
RES;What are the movies whose director of photography is Jordan Cronenweth?
RES;Which river ends at  Thames Estuary and North Sea?
RES;What is the university whose affiliations is Graham Holdings Company?
RES;What is the division of Serbia national American football team ?
NUM;How many companies are located in Toronto ?
RES;From where is Quinn Ojinnaka billed?
RES;What are the movies whose editor died in Westwood, Los Angeles?
RES;What are the software which uses  platforms as ARM architecture?
RES;Which are the comics characters painted by Bruce Timm and created by  Paul Dini?
RES;Where did Jerry Tagge do his elementary schooling?
RES;Who worked at  A Goon's Deed in a Weary World and CBS?
RES;Wo which countries have the members of Ukrainian ministry of internal affairs swore their oath?
RES;Which rivers start at the Brower's Spring?
RES;In which movies directed by Orson Welles has Bernard Herrmann as music composer ?
RES;Who is the builder of Presidio Santa Cruz de Terrenate ?
RES;List all the home stadium of the soccer clubs which has one of the home stadium as Nairobi ?
RES;What is the largest city in the country where the San Marcos River originates?
BOOL;Is David Cameron the prime minister of Nick Clegg?
RES;Which musician was born in Harriman, NY?
RES;In which areas is the radio station broadcasted which is a sister station of WXME ?
RES;What common teams do Ramiro Pea and Bruce Bochy share?
RES;In which continent do Air 2000 and Novair International airways operate?
NUM;How many shows are aired on Comedy Central?
RES;List all the settlements which has a part named Seguin,Texas ?
RES;Which awards have Ingmar Bergman won?
RES;What are the products of the company who published Robot Wars: Metal Mayhem ?
RES;In which state is Colemanville Covered Bridge located ?
RES;Where did the partner of Teriitaria II die?
RES;Name the licensee of the TV station whose one of the licensee is Incorporation ?
RES;What is the company of Ford Theatre ?
RES;For all the senators who once studied in Sturm College of Law, give their burial place?
BOOL;Did Jim Kiick do his highschool in New Jersey?
RES;What are Monrow Carell Jr Children Hospital and Vanderbilt University Medical Center both affiliated with?
RES;Name the writer whose one of the notable work is Adventures of Huckleberry Finn and died in Redding, Connecticut?
RES;Which official residence of hugh Scott is also the origin of Long Rifle ?
NUM;How many politicians are in the US Senate?
RES;What is the name of the person who has relations with Dionne Warwick and Gary Garland?
RES;What is the job of the George Arceneaux, Jr. which is also the office of the Blanche Bruce
RES;Which moto of american Classical League is also the academic discipline of Probus ?
RES;List all the major shrines of the saints which has one of the shrines as Debre Libanos ?
RES;Name the fictional character whose relatives are Huey, Dewey, and Louie and belongs to Duck family ?
RES;What is the ideology of the Union of Cambodian Democrats which is also the ideology of Palang Dharma Party ?
NUM;How many bands are signed up with labels which were founded in Japan?
NUM;How many kings and queens have died in the Arabian Peninsula?
RES;What is the bloomington viaduct built to cross?
RES;Which party has come in power at both Balangir and Amaravila in india?
NUM;How many politicians reside in Cape Town?
NUM;How many games are released for virtual consoles?
RES;Saores de costa built a bridge over which river?
BOOL;Is Lieutenant general (United States) the superintendent of United States Air Force Academy?
RES;In what movies did Akira Ifukube compose the music?
BOOL;Is the national endowment of arts under the jurisdiction of federal government of US?
RES;Who is the operator of Rainbow Warrior (1955) ?
RES;List the guest of the show The Other Side (The Outer Limits)?
RES;What is the common location of  tomb of the Elizabeth of Rhuddlan and Isabel of Cambridge?
RES;To which state eorge M. Chilcott  belong ?
RES;What are some products of the company whose parent is BBC?
RES;Which producer of  the Eristoff is also the  distributor of  Bombay Sapphire?
NUM;How many islands belong to archipelagos located in the pacific?
RES;Who was the chairman of Fort Lauderdale Strikers and also 2015 Fort Lauderdale Strikers season ?
RES;What are some video games whose music is composed by an employ of the company Creatures?
RES;Who were in the youth clubs that were in season of 2015 Argentine Primera Division?
NUM;How many units follow the US Navy Department's command structure?
RES;Name the home Stadium of Kenya national under-20 football team ?
RES;Which city do both Arthur Ross and Edward Niesen come from?
RES;Which associat of Martin Pugh is also married to Alana Stewert ?
NUM;How many people played for Newell's Old Boys?
RES;Where do the stockholders of Pathaninaikos F.C. live?
RES;What is the common school of Chris Marve and Neria Douglass?
NUM;Give me the count of artist in the company whose Artist is Jean- François Coté ?
NUM;How many bands have members currently playing the Fender Stratocaster?
RES;Who has built the stadiums which were rented by the Central american games of 2013?
RES;What has been founded in the state that Denton county, Texas is a part of? 
RES;Which politicians son is buried in Metairie Cementery?
RES;Titus software publishes which genre of games?
RES;Which fictional character's relative is Clan McDuck and belongs to American Pekin duck ?
RES;Which military people served their allegiance to Union (American Civil War)?
RES;Which border country of the Korean Peninsula is also the country of Krusty, a musical group ?
NUM;Mac OS is the operating system of how many things?
RES;What are the television shows whose Composer is Stewart Copeland?
RES;List the border of the admin region which shares border with North Korea ?
RES;What is the draft team of the Antoine Bibeau and also has player named Nathan Dempsey ?
RES;Through which important cities the does the river originating from the Duwamish, flow?
RES;Name the TV show whose producer is Stephen E. Ambrose and company is HBO ?
RES;List the broadcast area of the TV stations which also serves in Agalga ?
RES;Into what military organizations is the United States Department of Defense divided?
RES;Whose deputy is Neil Brown?
RES;In which broadcast area does the sister station of KFFG air ?
BOOL;Was Neil Armstrong on the Gemini 8 mission?
RES;which astronaut's mission was Apollo 11?
RES;What is debut team of the baseball players who died in Los Angeles?
RES;Which company owns instagram?
RES;List all the former partners of the figure skater whose one of the former partner was Andrea poapst ?
RES;List all the operators of the train who operates in Budapest ?
RES;What are the awards won by the producer of Puss in Boots (film)?
RES;Which president had lieutenants whose governor was Bill Clinton?
RES;Name the species of Liger ?
RES;In which state is the alma matter of Jan Paulsen located ?
NUM;How many politicians are in the militia?
RES;In which wars were people from the Saudi Arabian ministry of defense involved?
RES;Who were the first drivers in Grand Prixes where the first team was Scuderia Ferrari?
NUM;How many things do bridges designed by the UEM group go over?
RES;Under which US president was a politician in opposition of John G Schmitz?
RES;Whose theme music is composed by the band one of whose member is Les Claypool?
RES;Who has recorded their singles in London?
RES;Who are the associated musical artist of the  artists of band Shorty Rogers?
RES;Who were the american football players who played for Dallas Cowboys?
RES;Politicians born in Bangalore are now in which parties?
RES;What is the debut team of the baseball player who was born in Williamsburg, Kansas ?
RES;Name the composer of motorpsycho Nitemare ?
BOOL;Is James Hetfield a band member of Metallica?
BOOL;Does the Vadodara Railway station lie at the end of the Mathura Vadodara route?
RES;Stan Van Gundy serves as a head coach and president for which basketball team?
RES;Which appliance's CPU is Cell (microprocessor) and predecessor is PlayStation 2?
RES;People who debuted from Houston Astros have played in which clubs?
RES;Radios on what topics can be tuned in to in Washington DC?
RES;Give me some shows related to the ones created by Russell Davies
RES;What provides the services of Nintendo eShop and Nintendo Network?
RES;What is the territory of the conflict whose commander is Feng Zicai?
RES;Name the person who was educated at Harvard-Westlake and won the Screen Actor Guild Life Achievement Award ?
RES;Which is the common nation of Louisa Hill and American Football Wellington from?
RES;Which club of Michael Springer is also the parent organization of Syracuse University press ?
RES;Which company created BASIC and Language Integrated Query ?
RES;Hugh Hefner is editor of which magazine?
RES;Who  works  at the American Magazine and New York Post?
RES;Whihc successor of McDonnell Douglas was built bu Delta 3 ?
RES;Which countries share a similar sociocultural and ethnic heritage of that of Native Indonesians?
RES;What is the residence of the person, who starred in Men Will Be Men ?
RES;What people are known to work for Johnny Cash?
RES;In which state is Goose Lake Valle, which is also part of Lava River Cave ?
RES;Where did some of the matches take place where Columbus Crew SC played?
NUM;How many awards have been given to Italians?
NUM;Count the number of cities around the American Mediterranean Sea?
RES;List the first drivers of Grand Prixes where Mika Hakkinen was a pole driver.
NUM;How many movies have their music signed up with Sony Music Entertainment.
RES;What is the nationality of the David King-Wood and John Steed ?
RES;What are the television shows whose network is BBC HD?
RES;To which party does the politician belong, who was born in Nandurbar?
RES;Name the people who were in a youth club managed by Luis Enrique ?
RES;What is the local authority of Liverpool Institute High School for Boys ?
RES;What is the destinations of the airline whose headquarters is in Manchester?
RES;who married crystal harris?
RES;Which job of Irving Chernev is the non-fiction subject of the Thud ?
RES;Who gave the voice to the characters sculpted by Clamp?
RES;Where are the tombs of kings and queens who have died in England?
BOOL;Is Lloyd  Nosler the editor of The Temptress?
RES;Who are the people whose alumna is a part of the National Collegiate Athletic Association?
RES;On what subject does WTJC-LP air?
RES;Name the television show whose voice is given by April Stewart and it's distributor is Broadcast syndication?
RES;In which city is the building, whose part is the Martin AN/FSG1 anti aircraft system?
RES;Who wrote A house not meant to stand and Akale?
RES;Who managed England national under-20 football team and Middlesbrough F.C.?
RES;Who developed the software which is used as operating system of Magic Trackpad ?
BOOL;Was the USS Tillamook built in Seattle?
RES;Who produced the TV shows for Fremantle Media?
RES;What is the home stadium of the soccer club seasons whose chairman is Merritt Paulson?
RES;In which state is Dorchester Bay (Boston Harbor) ?
RES;Name the veneration of the monarch who is the predecessor of Solomon?
RES;Who was the director of photography of Mickey's Mellerdrammer and the animator of Tommy Tucker's Tooth?
RES;Who is the builder of Estadio Nacional de Costa Rica and also location of Xianren Cave ?
RES;Which distributer of Glover (video game) is also the  publisher of the Super Mario Adventures ?
NUM;How many movies did Michael Deeley produce?
BOOL;Is Steve Nash the chairman of Vancouver Whitecaps FC?
RES;Who is a famous relative of Aaround Van Heemstra?
RES;What awards have been given to the anyone who raced in the Lawrence Realization Stakes?
NUM;How many battles have involved commanders of 1st Free French Division?
NUM;How many areas are led by Willem Alexander?
RES;Name the movie in which Vangelis gave the music and Jordan was the cinematographer ?
NUM;In how many places are the companies founded in Canada operating?
NUM;Count the number of movies whose editors were born in UK?
RES;What is the television show whose cast members are Jeff Conaway and Jason Carter?
RES;Which countries were led by Pietro Parolin?
RES;List the sports played in private universities.
RES;What state has a Brideun School for Exception Children and is the birthplace  of B J Crombeen?
RES;"Who is the performer of album which has the song ""To Where You Are"" ?"
NUM;How many companies were founded in places where Dallas is the governing body ?
RES;What Orson Welles directed movie has  photography director as Gregg Toland ?
RES;Who founded the city at the end of the Pittsburgh Line route?
RES;Name the hubs of the airlines whose headquarters is in the Subang Interchange?
RES;Name the television show whose network is TNT (TV channel) and Prime Time Entertainment Network?
RES;List the honorary title given to the spouse of Lillian Disney ?
NUM;How many games have a publisher based in US?
RES;Where does the rail route, which ends at the Moskovsky station, begins?
NUM;How many people have played for the NBA?
RES;Name the musician who gave the music in Tonight's the night and is also wedded to Alana Stewart ?
RES;What is the nationality of the golf player who won the  2002 Players Championship ?
RES;Which builder of Edwin Andrews Air Base isalso place of birth of the Akinoumi Setsuo ?
RES;Who penned Emma and Jane Austen in Manhatten?
NUM;How many labels sign up progressive rock artists?
RES;Which continents can be reached by flight companies available on Gatwick Airport?
RES;Where is Benjamin Franklin Terry buried, and US Route 59 has a junction?
BOOL;Do Ctenochaetus Binotatus lie in the cActinopterygii class?
RES;Who are some authoritative persons on the matter of Megabalanus concinnus?
RES;Where the club of Kiki Cutter located?
RES;List the awards won by the wife of Ingrid von Rosen.
RES;Which current Michigan Wolverines team member debuted in Chicago Bears ?
RES;List the movie whose music was given by Geoffrey Burgon and distributed by Cinema International Corporation?
RES;Which musical artists have collaborated with Waylon Jennings?
RES;What is the Nickname of the school where Jeff Hornacek studied  ?
RES;Where did the people canonized by John Paul II die?
RES;Who is the owner of Ford Motor Credit comapny which is also the builder of FORD SHO V8 engine ?
NUM;Count the different genres of games published by Titus Software
RES;Who has produced movies that have a James Horner score?
RES;Which movie produced by Michael Deeley was distributed by Warner Bros ?
RES;Name the person whose daughter is Rohan Marley and also another children named Sharon Marley ?
RES;Which shows are voiced be US citizens?
RES;Name the television show voiced by April Stewart and Eliza Schneider?
NUM;Count the different places where the people died, who were born in England?
RES;What are some relatives of Battle of the Bulge veterans?
RES;Who made the Y block engine and the SHO V8 engine?
NUM;How many different genres of games are produced by Blizzard?
RES;Which tennis players live in Kenthurst, new south wales?
RES;In which religions are both Pope Gregory 1 and Edwin of northumbria reverred?
NUM;How many things are located in Ridgewood, New Jersey?
RES;Name the sea whose inflow is Kemijoki and outflow is Danish straits?
RES;What award was won by executive producer of Shaun the Sheep?
BOOL;Was the altazor drawn by Picasso?
RES;What is the operator of SR class 3Sub ?
RES;Which key person of the Clinton Foundation is also the president of Edward J. Perkins ?
RES;Name the royalty whose daughter was Cleopatra V and was married to Ptolemy XIV of Egypt?
NUM;How many times has Jeff Conaway been casted?
RES;who are some miss michigan usa?
RES;What nicknames do the universities in Norton, Massachusetts have?
RES;Which license of the Microsoft Office Picture Manager is also the  product of the Apple Productivity Experience Group 
RES;What is the regional radio sports network associated with?
RES;List the destinations of the airlines which also serves Mediterranean  Sea ?
RES;Which fictional character's portrayer was edited by Roger Barton?
RES;What can be cooked out of things belonging to the order Sapindales?
RES;What is the birth place of the children of Miguel Garca Granados ?
